"Topic","Question ID","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"anatomy","14","The pterygomandibular raphe is a landmark for which injection?","Vazirani-Akinosi block","Mental nerve block","Inferior alveolar nerve block","Gow-Gates mandibular block","C","You're on the right track with understanding important anatomical landmarks! The pterygomandibular raphe is indeed a critical landmark for the Inferior Alveolar Nerve Block (IANB). This fibrous band helps define the medial border of the pterygomandibular space, where the inferior alveolar nerve is situated, making it a key guide for accurate needle insertion into this area. Other injections, such as the buccal, mental, or posterior superior alveolar nerve blocks, target different anatomical locations and rely on distinct landmarks for successful anesthesia."
"anatomy","19","Which sinus is most likely to be perforated during an extraction of a maxillary molar?","Maxillary sinus","Frontal sinus","Ethmoid sinus","Sphenoid sinus","A","That's a very common point of confusion, but you're doing great! The maxillary sinus is indeed the correct answer because its floor often extends to intimately surround or lie immediately superior to the roots of the maxillary molars, making it highly susceptible to perforation during extraction. Other sinuses like the frontal, sphenoid, or ethmoid are located more superiorly or posteriorly and are anatomically distant from the maxillary posterior teeth, thus not at risk during these extractions. Keep up the excellent work!"
"anatomy","22","A patient presents with paralysis of the muscles of facial expression on the right side, including an inability to close the right eye and an absent corneal reflex on the right. Which cranial nerve is most likely affected?","Trigeminal nerve (CN V)","Oculomotor nerve (CN III)","Facial nerve (CN VII)","Abducens nerve (CN VI)","C","The facial nerve (CN VII) primarily innervates the muscles of facial expression, and its paralysis leads to an inability to close the eye. While the afferent limb of the corneal reflex is the trigeminal nerve (CN V), the efferent limb responsible for eyelid closure is the facial nerve (CN VII), making it the affected nerve in this scenario."
"anatomy","28","Which paranasal sinus is most closely related to the apices of the maxillary posterior teeth, making it clinically relevant during dental procedures like extractions or implant placement?","Sphenoid sinus","Frontal sinus","Ethmoid sinus","Maxillary sinus","D","The maxillary sinus is located directly superior to the posterior maxillary teeth, and the roots of molars and premolars often project into its floor. This close anatomical relationship necessitates careful consideration during dental procedures to prevent complications such as oroantral communication."
"anatomy","33","An infection originating from a mandibular molar with roots extending below the mylohyoid muscle is most likely to spread initially into which fascial space?","Submandibular space","Pterygomandibular space","Sublingual space","Parapharyngeal space","A","The mylohyoid muscle acts as a barrier, separating the sublingual space (above the muscle) from the submandibular space (below the muscle). Therefore, if a mandibular molar infection perforates the cortical bone apical to the mylohyoid line, it will typically drain into and spread through the submandibular space."
"anatomy","48","Damage to which cranial nerve would most directly affect the ability to taste on the anterior two-thirds of the tongue?","Hypoglossal nerve (CN XII)","Glossopharyngeal nerve (CN IX)","Trigeminal nerve (CN V)","Facial nerve (CN VII)","D","The chorda tympani, a branch of the facial nerve (CN VII), carries taste sensation from the anterior two-thirds of the tongue. The glossopharyngeal nerve (CN IX) provides taste for the posterior one-third. The hypoglossal nerve (CN XII) is motor to the tongue, and the trigeminal nerve (CN V) provides general sensation (touch, pain, temperature) to the anterior two-thirds, not taste."
"anatomy","59","During a regional nerve block of the inferior alveolar nerve, the needle passes immediately medial to which anatomical landmark?","Buccinator muscle","Pterygomandibular raphe","Lingula","Mylohyoid line","C","The lingula of the mandible is the key bony landmark located immediately anterior to the mandibular foramen where the inferior alveolar nerve enters. The needle must pass just superior and lateral to the lingula to properly deposit local anesthetic. The pterygomandibular raphe is pierced during insertion, but the lingula is the deep landmark for deposition."
"anatomy","60","A patient presents with a lesion of the facial nerve within the parotid gland, resulting in the inability to close the eye and asymmetry of the mouth. Which of the following branches is responsible for the inability to close the eye?","Buccal branch","Zygomatic branch","Temporal branch","Cervical branch","C","The temporal branches of the facial nerve supply the orbicularis oculi muscle, which is responsible for closing the eyelids. The zygomatic branch also contributes to eye closure, but the temporal branch is the primary nerve for the superior portion of the orbicularis oculi. The buccal and cervical branches supply the lower face and neck, respectively."
"anatomy","67","During a surgical extraction of a mandibular third molar, damage to the lingual nerve is a known complication. Where is the lingual nerve typically located relative to the third molar root?","Superior to the occlusal plane","Lateral and slightly inferior","Medial and directly adjacent to the lingual plate","Deep within the mylohyoid muscle","C","The lingual nerve runs medial and slightly inferior to the third molar, often lying directly against the lingual cortical plate of the mandible, making it vulnerable during molar elevation or flap reflection. It is not lateral, nor is it superior to the occlusal plane or deep within the mylohyoid at that specific surgical site."
"anatomy","68","During a routine inferior alveolar nerve block, the needle passes medially to the sphenomandibular ligament. Which of the following anatomical structures is most directly at risk of being pierced or traumatized?","Inferior alveolar neurovascular bundle","Facial nerve","Lingual nerve","Maxillary artery","A","The inferior alveolar neurovascular bundle lies immediately lateral to the sphenomandibular ligament as it enters the mandibular foramen, making it the primary target and structure at risk during this block. The lingual nerve runs anterior and medial to the inferior alveolar nerve, while the facial nerve is superficial within the parotid gland and the maxillary artery is more superior. Therefore, the inferior alveolar bundle is the correct answer."
"anatomy","69","A patient presents with paralysis of the muscles of mastication on the right side. A lesion of which cranial nerve is most likely responsible for this motor deficit?","Cranial Nerve XII (Hypoglossal)","Cranial Nerve V (Trigeminal)","Cranial Nerve VII (Facial)","Cranial Nerve IX (Glossopharyngeal)","B","Cranial Nerve V (Trigeminal nerve, specifically the mandibular division V3) provides motor innervation to all the muscles of mastication (masseter, temporalis, medial and lateral pterygoids). Cranial Nerve VII innervates the muscles of facial expression, not mastication. CN IX and XII innervate the stylopharyngeus and tongue muscles respectively."
"anatomy","74","During a surgical extraction of an impacted maxillary third molar, the root tip is inadvertently displaced into which anatomical space?","Pterygomandibular space","Infratemporal fossa","Sublingual space","Submandibular space","B","Maxillary third molar roots lie closely related to the posterior wall of the maxilla and the adjacent infratemporal fossa, making them vulnerable to displacement into this space during extraction. The sublingual and submandibular spaces are located in the floor of the mouth related to mandibular teeth, while the pterygomandibular space is associated with the ramus of the mandible."
"anatomy","78","A patient experiences loss of taste sensation on the anterior two-thirds of the tongue and impaired salivation from the submandibular and sublingual glands. Which nerve is most likely damaged?","V3 (Mandibular division of trigeminal)","Glossopharyngeal nerve (CN IX)","Chorda tympani branch of CN VII","Hypoglossal nerve (CN XII)","C","The chorda tympani branch of the facial nerve (CN VII) carries taste fibers for the anterior two-thirds of the tongue and preganglionic parasympathetic fibers to the submandibular and sublingual glands. V3 provides general sensation to the anterior tongue, CN IX provides taste and general sensation to the posterior third, and CN XII provides motor innervation to the tongue muscles."
"anatomy","79","During a surgical extraction of an impacted mandibular third molar, which anatomical structure is at greatest risk of direct injury due to its close relationship with the lingual plate of the mandible?","Mental nerve","Mylohyoid nerve","Lingual nerve","Inferior alveolar nerve","C","The lingual nerve runs superficially and medially to the lingual plate in the region of the mandibular third molar, making it highly susceptible to flap retraction or surgical trauma. The inferior alveolar nerve travels within the mandibular canal, the mylohyoid nerve is inferior on the outer surface of the mandible, and the mental nerve exits anteriorly through the mental foramen."
"anatomy","86","During a routine dental examination, a patient displays drooping of the lower eyelid and inability to close the eye tightly (lagophthalmos). Which cranial nerve is affected?","CN VII (Facial)","CN VI (Abducens)","CN V (Trigeminal)","CN III (Oculomotor)","A","Cranial nerve VII (Facial nerve) innervates the muscles of facial expression, including orbicularis oculi, which is responsible for closing the eyelids. CN III supplies extraocular muscles and levator palpebrae superioris (elevation, not tight closure), CN V provides facial sensation, and CN VI abducts the eye."
"anatomy","87","During a routine inferior alveolar nerve block, the needle passes medially to which of the following structures just before contacting bone?","Pterygomandibular raphe","Sphenomandibular ligament","Stylomandibular ligament","Buccinator muscle","B","The sphenomandibular ligament attaches to the lingula of the mandible and acts as a key landmark located medially to the inferior alveolar nerve as it enters the mandibular foramen. The stylomandibular ligament is further posterior, while the pterygomandibular raphe and buccinator muscle lie more anteriorly and medially in the injection pathway."
"anatomy","88","A patient presents with parethhesia of the lower lip and chin following the extraction of a mandibular third molar. Which nerve was most likely directly traumatized?","Inferior alveolar nerve","Mylohyoid nerve","Long buccal nerve","Lingual nerve","A","The inferior alveolar nerve travels within the mandibular canal directly inferior to the roots of the posterior teeth, making it highly susceptible to trauma during mandibular third molar extractions. The lingual nerve provides sensation to the anterior tongue, the mylohyoid nerve is a motor nerve with some sensory contributions, and the long buccal nerve supplies the buccal gingiva of molars."
"anatomy","91","A lesion in the cavernous sinus is most likely to affect which combination of cranial nerves?","CN V3, CN VII, CN VIII","CN III, CN IV, CN V1, CN V2, CN VI","CN IX, CN X, CN XI, CN XII","CN I, CN II, CN III","B","The cavernous sinus transmits the oculomotor (III), trochlear (IV), ophthalmic (V1) and maxillary (V2) divisions of the trigeminal nerve, and the abducens nerve (VI), along with the internal carotid artery. Cranial nerves I and II do not pass through it, V3 exits via the foramen ovale outside the sinus, and the lower cranial nerves are located in the posterior cranial fossa and jugular foramen."
"anatomy","95","During a routine inferior alveolar nerve block, the needle passes too far posteriorly and medially. Which muscle is most likely penetrated by the needle tip?","Lateral pterygoid muscle","Buccinator muscle","Masseter muscle","Medial pterygoid muscle","D","The medial pterygoid muscle forms the medial wall of the pterygomandibular space and can be penetrated if the needle is inserted too far medially or posteriorly during an inferior alveolar nerve block. The lateral pterygoid is located superiorly, the masseter is on the lateral aspect of the ramus, and the buccinator is more anterior. Therefore, the medial pterygoid is the correct anatomical structure encountered in this specific misdirection."
"anatomy","96","A patient presents with a loss of general sensation from the anterior two-thirds of the tongue, but taste sensation remains intact. Which nerve is most likely damaged?","Lingual nerve distal to the junction with the chorda tympani","Glossopharyngeal nerve","Chorda tympani","Lingual nerve proximal to the junction with the chorda tympani","A","General sensation to the anterior two-thirds of the tongue is supplied by the lingual nerve (V3), while taste is supplied by the chorda tympani (VII) which hitches a ride on the lingual nerve. If the lingual nerve is damaged distal to where the chorda tympani joins it, general sensation is lost but taste fibers traveling proximally via the chorda tympani remain unaffected. Damage proximal to the junction or to the chorda tympani alone would result in different clinical presentations."
"anatomy","98","A fracture of the pterion is life-threatening primarily due to the risk of lacerating which underlying vascular structure?","Anterior cerebral artery","Middle meningeal artery","Internal carotid artery","Maxillary artery","B","The pterion overlies the anterior branch of the middle meningeal artery, making it extremely vulnerable to blunt force trauma to the side of the head. Laceration of this vessel leads to an epidural hematoma, which is a surgical emergency. The other arteries listed are not located directly beneath the pterion."
"anatomy","102","During a surgical extraction of a mandibular third molar, damage to the nerve running immediately lingual to the tooth socket results in loss of sensation to the floor of the mouth. What is this nerve?","Buccal nerve","Lingual nerve","Inferior alveolar nerve","Mylohyoid nerve","B","The lingual nerve runs very close to the lingual cortical plate of the mandibular third molar region, making it susceptible to injury during third molar extractions. It provides general sensory innervation to the anterior two-thirds of the tongue and the floor of the mouth. The inferior alveolar nerve travels within the mandibular canal, the mylohyoid nerve branches off before the canal, and the buccal nerve is located more buccally."
"anatomy","104","A patient is unable to close their lips completely (incompetent lips) and dribbles saliva. Which facial muscle is most likely paralyzed?","Mentalis","Orbicularis oris","Levator labii superioris","Zygomaticus major","B","The orbicularis oris muscle acts as a sphincter for the mouth and is responsible for closing, puckering, and sealing the lips. Paralysis of this muscle, often due to facial nerve (CN VII) damage, leads to lip incompetence and drooling. The other muscles assist in facial expression and lip movement but do not act as the primary oral sphincter."
"anatomy","106","A patient presents with a loss of sensation to the anterior two-thirds of the tongue, but taste and salivation remain completely intact. Which nerve is most likely damaged?","Glossopharyngeal nerve","Chorda tympani","Lingual nerve proper (proximal to chorda tympani junction)","Lingual nerve (distal to the junction with chorda tympani)","D","General sensation to the anterior two-thirds of the tongue is supplied by the lingual nerve, while taste and parasympathetic fibers to the submandibular and sublingual glands are carried by the chorda tympani, which joins the lingual nerve. If taste and salivation are intact, the lesion must be distal to the junction where the chorda tympani joins the lingual nerve. Proximal lesions or damage to the chorda tympani alone would result in loss of taste and secretomotor function."
